filename,trait
hair-hat-01-01.svg,Serene
hair-hat-01-02.svg,Flowing
hair-hat-01-03.svg,Inclusive
hair-hat-01-04.svg,Cultivated
hair-hat-01-05.svg,Inventive
hair-hat-02-01.svg,Rooted
hair-hat-02-02.svg,Peaceful
hair-hat-02-03.svg,Directed
hair-hat-02-04.svg,Intelligent
hair-hat-02-05.svg,Guided
hair-hat-03-01.svg,Lively
hair-hat-03-02.svg,Transformative
hair-hat-03-03.svg,Renewable
hair-hat-03-04.svg,Connected
hair-hat-03-05.svg,Sustainable
hair-hat-04-01.svg,Flourishing
hair-hat-04-02.svg,Cheerful
hair-hat-04-03.svg,Active
hair-hat-04-04.svg,Guided
hair-hat-04-05.svg,Serene
hair-hat-05-01.svg,Nurturing
hair-hat-05-02.svg,Rooted
hair-hat-05-03.svg,Nourishing
hair-hat-05-04.svg,Peaceful
hair-hat-05-05.svg,Directed
